hour,Bike,Trip Duration,distance_km,ELEVATION,AWND,PRCP,SNOW,SNWD,TAVG,TMAX,TMIN,WSF5,WT01,WT02,WT03,WT04,WT06,WT08,WEEKDAY
0.0,261,743.0,1.0,43.0,6.0,0.0,0.0,0.0,42.0,48.0,36.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
1.0,128,624.0,1.0,43.0,6.0,0.0,0.0,0.0,44.0,51.0,37.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0
2.0,57,396.0,1.0,43.0,7.0,0.0,0.0,0.0,44.0,49.0,38.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0
3.0,33,404.0,1.0,43.0,7.0,0.0,0.0,0.0,41.0,47.0,35.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0
4.0,124,268.0,1.0,43.0,6.0,0.0,0.0,0.0,44.0,50.0,37.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
5.0,364,346.0,1.0,43.0,6.0,0.0,0.0,0.0,42.0,49.0,36.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
6.0,1053,335.0,1.0,43.0,6.0,0.0,0.0,0.0,43.0,49.0,36.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
7.0,2335,455.0,1.0,43.0,6.0,0.0,0.0,0.0,43.0,50.0,36.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
8.0,4080,850.0,1.0,43.0,6.0,0.0,0.0,0.0,43.0,50.0,36.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
9.0,2016,538.0,1.0,43.0,6.0,0.0,0.0,0.0,43.0,49.0,36.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
10.0,1180,544.0,1.0,43.0,6.0,0.0,0.0,0.0,43.0,50.0,37.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
11.0,1135,658.0,1.0,43.0,6.0,0.0,0.0,0.0,43.0,50.0,37.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
12.0,1368,692.0,1.0,43.0,6.0,0.0,0.0,0.0,44.0,51.0,37.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
13.0,1369,794.0,1.0,43.0,6.0,0.0,0.0,0.0,44.0,51.0,37.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
14.0,1329,938.0,1.0,43.0,6.0,0.0,0.0,0.0,44.0,51.0,37.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
15.0,1421,755.0,1.0,43.0,6.0,0.0,0.0,0.0,44.0,51.0,37.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
16.0,1743,770.0,1.0,43.0,6.0,0.0,0.0,0.0,43.0,50.0,36.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
17.0,3185,628.0,1.0,43.0,6.0,0.0,0.0,0.0,43.0,50.0,36.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
18.0,3265,470.0,1.0,43.0,6.0,0.0,0.0,0.0,43.0,50.0,36.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
19.0,2277,667.0,5.0,43.0,6.0,0.0,0.0,0.0,43.0,50.0,36.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
20.0,1430,553.0,1.0,43.0,6.0,0.0,0.0,0.0,43.0,50.0,36.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
21.0,942,566.0,1.0,43.0,6.0,0.0,0.0,0.0,43.0,50.0,36.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
22.0,721,666.0,1.0,43.0,6.0,0.0,0.0,0.0,43.0,50.0,36.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
23.0,398,452.0,1.0,43.0,6.0,0.0,0.0,0.0,42.0,49.0,36.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
