hour,Bike,Trip Duration,distance_km,ELEVATION,AWND,PRCP,SNOW,SNWD,TAVG,TMAX,TMIN,WSF5,WT01,WT02,WT03,WT04,WT06,WT08,WEEKDAY
0.0,125,597.0,1.0,43.0,6.0,0.0,0.0,0.0,51.0,59.0,43.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0
1.0,69,1272.0,1.0,43.0,6.0,0.0,0.0,0.0,51.0,59.0,43.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0
2.0,31,576.0,1.0,43.0,6.0,0.0,0.0,0.0,52.0,59.0,44.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0
3.0,24,332.0,1.0,43.0,6.0,0.0,0.0,0.0,47.0,54.0,40.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0
4.0,51,14718.0,1.0,43.0,6.0,0.0,0.0,0.0,53.0,60.0,46.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
5.0,170,468.0,1.0,43.0,6.0,0.0,0.0,0.0,53.0,61.0,45.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
6.0,510,344.0,1.0,43.0,6.0,0.0,0.0,0.0,55.0,63.0,46.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
7.0,1067,397.0,1.0,43.0,6.0,0.0,0.0,0.0,53.0,61.0,45.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
8.0,1913,426.0,1.0,43.0,7.0,0.0,0.0,0.0,53.0,61.0,45.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
9.0,985,808.0,1.0,43.0,6.0,0.0,0.0,0.0,54.0,62.0,46.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
10.0,658,1014.0,1.0,43.0,6.0,0.0,0.0,0.0,53.0,61.0,46.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0
11.0,587,959.0,1.0,43.0,6.0,0.0,0.0,0.0,53.0,62.0,45.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0
12.0,694,1036.0,1.0,43.0,6.0,0.0,0.0,0.0,54.0,62.0,46.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0
13.0,694,679.0,1.0,43.0,6.0,0.0,0.0,0.0,54.0,62.0,46.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0
14.0,662,2454.0,1.0,43.0,6.0,0.0,0.0,0.0,54.0,62.0,46.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
15.0,693,813.0,1.0,43.0,6.0,0.0,0.0,0.0,53.0,61.0,45.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
16.0,836,620.0,1.0,43.0,6.0,0.0,0.0,0.0,53.0,61.0,45.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
17.0,1581,1472.0,1.0,43.0,6.0,0.0,0.0,0.0,54.0,62.0,46.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
18.0,1636,551.0,1.0,43.0,6.0,0.0,0.0,0.0,53.0,62.0,45.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
19.0,1157,982.0,1.0,43.0,6.0,0.0,0.0,0.0,54.0,62.0,45.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
20.0,707,3075.0,1.0,43.0,6.0,0.0,0.0,0.0,55.0,63.0,46.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
21.0,514,465.0,1.0,43.0,6.0,0.0,0.0,0.0,53.0,62.0,45.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
22.0,316,2569.0,1.0,43.0,6.0,0.0,0.0,0.0,54.0,62.0,46.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
23.0,185,557.0,1.0,43.0,6.0,0.0,0.0,0.0,51.0,59.0,44.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0
