hour,Bike,Trip Duration,distance_km,ELEVATION,AWND,PRCP,SNOW,SNWD,TAVG,TMAX,TMIN,WSF5,WT01,WT02,WT03,WT04,WT06,WT08,WEEKDAY
0.0,228,548.0,39.0,43.0,5.0,0.0,0.0,0.0,62.0,70.0,54.0,23.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0
1.0,146,875.0,60.0,43.0,5.0,0.0,0.0,0.0,62.0,70.0,54.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
2.0,73,3996.0,120.0,43.0,5.0,0.0,0.0,0.0,65.0,72.0,57.0,23.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0
3.0,46,7356.0,1.0,43.0,5.0,0.0,0.0,0.0,61.0,68.0,54.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0
4.0,82,9325.0,1.0,43.0,5.0,0.0,0.0,0.0,61.0,69.0,53.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
5.0,258,458.0,1.0,43.0,5.0,0.0,0.0,0.0,61.0,69.0,53.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
6.0,778,383.0,1.0,43.0,5.0,0.0,0.0,0.0,62.0,70.0,54.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
7.0,1654,428.0,6.0,43.0,5.0,0.0,0.0,0.0,61.0,69.0,53.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
8.0,2994,1177.0,4.0,43.0,5.0,0.0,0.0,0.0,61.0,70.0,53.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
9.0,1690,703.0,11.0,43.0,5.0,0.0,0.0,0.0,63.0,71.0,54.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
10.0,1189,1006.0,23.0,43.0,5.0,0.0,0.0,0.0,62.0,70.0,55.0,23.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0
11.0,1157,979.0,38.0,43.0,5.0,0.0,0.0,0.0,63.0,71.0,56.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
12.0,1288,935.0,35.0,43.0,5.0,0.0,0.0,0.0,63.0,71.0,55.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
13.0,1316,795.0,21.0,43.0,5.0,0.0,0.0,0.0,63.0,71.0,55.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
14.0,1258,1770.0,8.0,43.0,5.0,0.0,0.0,0.0,63.0,71.0,55.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
15.0,1319,967.0,34.0,43.0,5.0,0.0,0.0,0.0,63.0,71.0,55.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
16.0,1601,888.0,61.0,43.0,5.0,0.0,0.0,0.0,63.0,71.0,55.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
17.0,2469,1392.0,22.0,43.0,5.0,0.0,0.0,0.0,62.0,70.0,53.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
18.0,2726,634.0,20.0,43.0,5.0,0.0,0.0,0.0,62.0,70.0,54.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
19.0,1994,931.0,40.0,43.0,5.0,0.0,0.0,0.0,63.0,71.0,55.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
20.0,1256,2229.0,29.0,43.0,5.0,0.0,0.0,0.0,64.0,72.0,55.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
21.0,910,628.0,10.0,43.0,5.0,0.0,0.0,0.0,63.0,71.0,55.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
22.0,635,1633.0,15.0,43.0,5.0,0.0,0.0,0.0,65.0,73.0,57.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
23.0,359,634.0,1.0,43.0,5.0,0.0,0.0,0.0,63.0,71.0,55.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
