hour,Bike,Trip Duration,distance_km,ELEVATION,AWND,PRCP,SNOW,SNWD,TAVG,TMAX,TMIN,WSF5,WT01,WT02,WT03,WT04,WT06,WT08,WEEKDAY
0.0,106,669.0,1.0,43.0,4.0,0.0,0.0,0.0,56.0,63.0,48.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
1.0,53,938.0,1.0,43.0,4.0,0.0,0.0,0.0,55.0,62.0,48.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0
2.0,37,355.0,1.0,43.0,3.0,0.0,0.0,0.0,52.0,58.0,46.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0
3.0,15,369.0,1.0,43.0,3.0,0.0,0.0,0.0,51.0,57.0,45.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0
4.0,33,283.0,264.0,43.0,4.0,0.0,0.0,0.0,56.0,64.0,49.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
5.0,128,370.0,1.0,43.0,4.0,0.0,0.0,0.0,57.0,65.0,50.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
6.0,401,358.0,1.0,43.0,4.0,0.0,0.0,0.0,59.0,67.0,50.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
7.0,849,405.0,21.0,43.0,4.0,0.0,0.0,0.0,58.0,66.0,50.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
8.0,1362,444.0,33.0,43.0,4.0,0.0,0.0,0.0,58.0,66.0,50.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
9.0,760,1275.0,47.0,43.0,4.0,0.0,0.0,0.0,57.0,65.0,50.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
10.0,473,491.0,56.0,43.0,4.0,0.0,0.0,0.0,55.0,63.0,48.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
11.0,472,577.0,38.0,43.0,4.0,0.0,0.0,0.0,55.0,62.0,48.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0
12.0,597,632.0,45.0,43.0,4.0,0.0,0.0,0.0,56.0,63.0,48.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
13.0,566,656.0,62.0,43.0,4.0,0.0,0.0,0.0,56.0,63.0,48.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0
14.0,547,691.0,33.0,43.0,4.0,0.0,0.0,0.0,55.0,62.0,48.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0
15.0,551,3210.0,17.0,43.0,4.0,0.0,0.0,0.0,56.0,63.0,48.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
16.0,690,616.0,26.0,43.0,4.0,0.0,0.0,0.0,56.0,64.0,49.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
17.0,1255,531.0,22.0,43.0,4.0,0.0,0.0,0.0,58.0,66.0,50.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
18.0,1318,586.0,14.0,43.0,4.0,0.0,0.0,0.0,58.0,66.0,50.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
19.0,900,602.0,11.0,43.0,4.0,0.0,0.0,0.0,58.0,66.0,50.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
20.0,619,426.0,29.0,43.0,4.0,0.0,0.0,0.0,58.0,65.0,50.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
21.0,418,459.0,1.0,43.0,4.0,0.0,0.0,0.0,58.0,65.0,50.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
22.0,250,455.0,70.0,43.0,4.0,0.0,0.0,0.0,58.0,65.0,50.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
23.0,151,449.0,1.0,43.0,4.0,0.0,0.0,0.0,56.0,64.0,49.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
