hour,Bike,Trip Duration,distance_km,ELEVATION,AWND,PRCP,SNOW,SNWD,TAVG,TMAX,TMIN,WSF5,WT01,WT02,WT03,WT04,WT06,WT08,WEEKDAY
0.0,518,497.0,1.0,43.0,5.0,0.0,0.0,0.0,53.0,60.0,47.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0
1.0,312,504.0,1.0,43.0,5.0,0.0,0.0,0.0,51.0,58.0,45.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0
2.0,159,553.0,1.0,43.0,5.0,0.0,0.0,0.0,51.0,58.0,45.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0
3.0,110,545.0,1.0,43.0,5.0,0.0,0.0,0.0,54.0,60.0,47.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0
4.0,178,739.0,1.0,43.0,5.0,0.0,0.0,0.0,53.0,59.0,46.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
5.0,689,495.0,1.0,43.0,5.0,0.0,0.0,0.0,50.0,56.0,43.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
6.0,1890,343.0,1.0,43.0,5.0,0.0,0.0,0.0,51.0,58.0,44.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
7.0,4097,404.0,1.0,43.0,5.0,0.0,0.0,0.0,52.0,58.0,45.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
8.0,6660,438.0,1.0,43.0,5.0,0.0,0.0,0.0,52.0,59.0,45.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
9.0,3755,419.0,1.0,43.0,5.0,0.0,0.0,0.0,52.0,59.0,45.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
10.0,2228,535.0,1.0,43.0,5.0,0.0,0.0,0.0,52.0,59.0,46.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
11.0,2149,671.0,1.0,43.0,5.0,0.0,0.0,0.0,52.0,59.0,45.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
12.0,2666,670.0,1.0,43.0,5.0,0.0,0.0,0.0,52.0,59.0,46.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
13.0,2708,707.0,1.0,43.0,5.0,0.0,0.0,0.0,52.0,59.0,45.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
14.0,2646,662.0,1.0,43.0,5.0,0.0,0.0,0.0,52.0,59.0,45.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
15.0,2760,671.0,1.0,43.0,5.0,0.0,0.0,0.0,52.0,59.0,45.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
16.0,3412,708.0,1.0,43.0,5.0,0.0,0.0,0.0,52.0,59.0,46.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
17.0,5614,501.0,1.0,43.0,5.0,0.0,0.0,0.0,53.0,59.0,46.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
18.0,6044,439.0,1.0,43.0,5.0,0.0,0.0,0.0,52.0,59.0,45.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
19.0,3927,462.0,1.0,43.0,5.0,0.0,0.0,0.0,53.0,59.0,46.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
20.0,2756,486.0,1.0,43.0,5.0,0.0,0.0,0.0,53.0,59.0,46.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
21.0,1894,435.0,1.0,43.0,5.0,0.0,0.0,0.0,53.0,60.0,46.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
22.0,1272,447.0,1.0,43.0,5.0,0.0,0.0,0.0,53.0,60.0,46.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
23.0,744,546.0,1.0,43.0,5.0,0.0,0.0,0.0,53.0,60.0,46.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
