hour,Bike,Trip Duration,distance_km,ELEVATION,AWND,PRCP,SNOW,SNWD,TAVG,TMAX,TMIN,WSF5,WT01,WT02,WT03,WT04,WT06,WT08,WEEKDAY
0.0,1427,745.0,13.0,43.0,5.0,0.0,0.0,0.0,65.0,72.0,58.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0
1.0,799,1328.0,12.0,43.0,5.0,0.0,0.0,0.0,66.0,73.0,59.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0
2.0,411,4454.0,22.0,43.0,5.0,0.0,0.0,0.0,66.0,74.0,59.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0
3.0,263,963.0,34.0,43.0,5.0,0.0,0.0,0.0,67.0,74.0,60.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0
4.0,553,626.0,17.0,43.0,5.0,0.0,0.0,0.0,64.0,71.0,57.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
5.0,1928,1253.0,24.0,43.0,5.0,0.0,0.0,0.0,65.0,73.0,58.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
6.0,5902,444.0,17.0,43.0,5.0,0.0,0.0,0.0,66.0,73.0,59.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
7.0,12181,603.0,30.0,43.0,5.0,0.0,0.0,0.0,66.0,73.0,59.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
8.0,21508,637.0,39.0,43.0,5.0,0.0,0.0,0.0,65.0,73.0,58.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
9.0,11828,638.0,47.0,43.0,5.0,0.0,0.0,0.0,66.0,73.0,59.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
10.0,7431,759.0,38.0,43.0,5.0,0.0,0.0,0.0,66.0,73.0,59.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
11.0,7206,831.0,55.0,43.0,5.0,0.0,0.0,0.0,66.0,73.0,59.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0
12.0,8192,883.0,38.0,43.0,5.0,0.0,0.0,0.0,66.0,73.0,59.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
13.0,7993,885.0,35.0,43.0,5.0,0.0,0.0,0.0,66.0,73.0,58.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0
14.0,7661,970.0,44.0,43.0,5.0,0.0,0.0,0.0,65.0,73.0,58.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0
15.0,8323,1023.0,40.0,43.0,5.0,0.0,0.0,0.0,66.0,73.0,59.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0
16.0,10034,833.0,37.0,43.0,5.0,0.0,0.0,0.0,66.0,73.0,58.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
17.0,17367,733.0,22.0,43.0,5.0,0.0,0.0,0.0,65.0,73.0,58.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
18.0,18786,718.0,20.0,43.0,5.0,0.0,0.0,0.0,66.0,73.0,59.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
19.0,14106,729.0,13.0,43.0,4.0,0.0,0.0,0.0,66.0,73.0,59.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
20.0,9603,915.0,31.0,43.0,4.0,0.0,0.0,0.0,67.0,74.0,60.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
21.0,6298,596.0,41.0,43.0,4.0,0.0,0.0,0.0,67.0,74.0,60.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
22.0,4273,1140.0,21.0,43.0,4.0,0.0,0.0,0.0,66.0,73.0,59.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
23.0,2363,883.0,27.0,43.0,5.0,0.0,0.0,0.0,66.0,73.0,59.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
